Crypto,MAE,RMSE,MAPE,Model
BNB,190.7297,218.641,20.5249,Prophet
ETH,1623.7599,1825.9073,51.6,Prophet
BTC,64349.3805,72346.5161,69.1537,Prophet
ADA,0.3784,0.4104,83.889,Prophet
SOL,138.7005,150.6752,97.5143,Prophet
LTC,85.5296,95.3144,100.3584,Prophet
DOGE,0.201,0.2219,135.4715,Prophet
DOT,3.3646,3.7904,150.2505,Prophet
LINK,37.6452,42.1908,272.8172,Prophet
XRP,53.1067,82.3289,2673.1233,Prophet
BNB,129.7031,141.947,13.5137,ARIMA
BTC,19685.846,22420.1843,21.2479,ARIMA
LTC,24.0957,26.1636,28.2054,ARIMA
ETH,939.8281,1056.1825,29.9646,ARIMA
XRP,0.6833,0.7441,32.377,ARIMA
SOL,63.7961,71.0384,45.5824,ARIMA
LINK,7.0929,7.6858,50.9037,ARIMA
DOGE,0.0811,0.088,54.1987,ARIMA
DOT,1.4652,1.5996,64.5874,ARIMA
ADA,0.3194,0.35,71.7328,ARIMA
LTC,2.8377,4.1251,2.9788,LSTM
BNB,27.6259,40.462,3.0804,LSTM
LINK,0.5862,0.8297,3.4408,LSTM
SOL,6.5199,8.7224,3.7296,LSTM
ETH,129.6812,177.3323,3.7598,LSTM
ADA,0.0293,0.0402,4.4617,LSTM
DOGE,0.009,0.0124,4.6213,LSTM
BTC,8054.9449,8651.8113,7.5206,LSTM
XRP,0.287,0.3239,11.0541,LSTM
DOT,1.1092,1.3043,38.5957,LSTM
